City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
217,Castanos,MX,2022-10-15 01:33:41,26.7833,-101.4167,83.34,46,31,13.98
218,Mason City,US,2022-10-15 01:32:02,43.1536,-93.201,41.13,74,40,12.66
219,Adrar,MR,2022-10-15 01:33:42,20.5022,-10.0711,84.99,23,100,12.06
220,Krasnovishersk,RU,2022-10-15 01:33:42,60.4078,57.082,43.93,95,100,1.7
221,Marsa Matruh,EG,2022-10-15 01:33:42,31.3525,27.2453,71.8,60,0,9.22
222,Barra Do Garcas,BR,2022-10-15 01:33:43,-15.89,-52.2567,79.84,27,78,3.49
223,Sakakah,SA,2022-10-15 01:33:43,29.9697,40.2064,67.57,36,0,3.22
224,Meulaboh,ID,2022-10-15 01:33:44,4.1363,96.1285,76.62,87,96,3.06
225,Morondava,MG,2022-10-15 01:33:44,-20.2833,44.2833,72.66,85,0,6.82
226,San Antonio,US,2022-10-15 01:29:57,29.4241,-98.4936,84.72,51,0,10.36
227,Noto,IT,2022-10-15 01:33:45,36.8901,15.0693,60.53,69,0,4.79
228,Salinopolis,BR,2022-10-15 01:33:46,-0.6136,-47.3561,80.69,78,88,11.18
229,Esik,KZ,2022-10-15 01:33:46,43.3552,77.4525,36.82,22,100,3.13
230,Derac,HT,2022-10-15 01:33:47,19.65,-71.8167,79.95,78,97,2.37
231,Cassilandia,BR,2022-10-15 01:34:47,-19.1133,-51.7342,75.6,41,8,5.66
232,Qasigiannguit,GL,2022-10-15 01:34:48,68.8193,-51.1922,26.85,79,91,4.25
233,Iskateley,RU,2022-10-15 01:34:49,67.6803,53.1512,38.77,93,100,6.98
234,Bayburt,TR,2022-10-15 01:34:49,40.2589,40.2278,48.63,77,100,2.93
235,Port Hedland,AU,2022-10-15 01:29:51,-20.3167,118.5667,86.05,15,6,11.5
236,Anloga,GH,2022-10-15 01:34:50,5.7947,0.8973,78.4,84,99,10.74
237,Buala,SB,2022-10-15 01:34:50,-8.145,159.5921,85.84,61,100,2.28
238,Kuruman,ZA,2022-10-15 01:34:52,-27.4524,23.4325,63.99,13,6,18.01
239,Honiara,SB,2022-10-15 01:34:52,-9.4333,159.95,86.95,63,100,5.08
240,Trelew,AR,2022-10-15 01:34:53,-43.249,-65.3051,63.86,22,7,18.63
241,Grand Gaube,MU,2022-10-15 01:34:53,-20.0064,57.6608,68.4,76,3,5.01
242,Lincoln,US,2022-10-15 01:32:33,40.8,-96.667,53.87,44,0,10.36
243,Paoua,CF,2022-10-15 01:34:54,7.2427,16.4406,69.19,92,100,2.89
244,Rundu,NA,2022-10-15 01:34:54,-17.9333,19.7667,68.58,25,91,4.09
245,Takoradi,GH,2022-10-15 01:34:55,4.8845,-1.7554,75.7,89,96,8.21
246,Phalodi,IN,2022-10-15 01:34:55,27.1333,72.3667,76.84,28,0,7.63
247,Kokologo,BF,2022-10-15 01:34:56,12.1897,-1.8856,80.46,70,100,8.3
248,Lagoa,PT,2022-10-15 01:34:57,39.05,-27.9833,66.74,66,100,12.39
249,Saldanha,ZA,2022-10-15 01:34:57,-33.0117,17.9442,57.67,86,44,15.59
250,Navolato,MX,2022-10-15 01:34:57,24.7672,-107.6944,84.38,76,2,4.12
251,Ipixuna,BR,2022-10-15 01:34:58,-1.7625,-48.8043,75.0,93,72,3.8
252,Boyolangu,ID,2022-10-15 01:34:59,-8.1181,111.8935,79.79,79,86,8.75
253,Batticaloa,LK,2022-10-15 01:35:00,7.7102,81.6924,78.55,84,100,5.55
254,Guerrero Negro,MX,2022-10-15 01:35:00,27.9769,-114.0611,68.0,76,26,12.57
255,Terrasini,IT,2022-10-15 01:35:02,38.146,13.0844,68.22,79,20,5.75
256,Kozan,TR,2022-10-15 01:35:03,37.4552,35.8157,65.21,86,99,2.51
257,Dutse,NG,2022-10-15 01:35:04,11.7594,9.3392,73.09,33,100,0.11
258,Bathsheba,BB,2022-10-15 01:35:04,13.2167,-59.5167,81.21,83,20,11.5
259,Boliqueime,PT,2022-10-15 01:35:05,37.1372,-8.1582,68.92,66,0,3.51
260,Padang,ID,2022-10-15 01:35:06,-0.9492,100.3543,78.85,77,100,0.67
261,Kysyl-Syr,RU,2022-10-15 01:35:06,63.8986,122.7617,24.91,86,60,4.7
262,Tezu,IN,2022-10-15 01:35:08,27.9167,96.1667,78.24,69,1,2.01
263,Urumqi,CN,2022-10-15 01:32:01,43.801,87.6005,45.55,34,0,6.71
264,Mathathane,BW,2022-10-15 01:35:09,-22.2687,28.7495,74.34,38,0,10.58
265,Tateyama,JP,2022-10-15 01:35:09,34.9833,139.8667,69.1,81,100,16.02
266,Turinsk,RU,2022-10-15 01:34:42,58.0458,63.696,41.68,91,77,6.96
267,Siguiri,GN,2022-10-15 01:35:10,11.6667,-9.5,76.21,73,100,2.62
268,Tabou,CI,2022-10-15 01:35:11,4.423,-7.3528,75.42,88,100,6.89
269,Alice Town,BS,2022-10-15 01:35:11,25.7167,-79.3,81.18,74,61,10.0
270,Alekseyevsk,RU,2022-10-15 01:35:12,57.8406,108.3492,32.05,83,99,6.42
271,Immokalee,US,2022-10-15 01:35:12,26.4187,-81.4173,80.58,86,74,5.68
272,Turkistan,KZ,2022-10-15 01:35:13,43.0,68.0,57.07,30,100,7.31
273,Kiunga,PG,2022-10-15 01:35:14,-6.1219,141.2906,88.68,62,88,0.89
274,Petropavlovsk-Kamchatskiy,RU,2022-10-15 01:35:14,53.0452,158.6483,52.39,40,20,13.42
275,Pacific Grove,US,2022-10-15 01:33:28,36.6177,-121.9166,59.43,91,100,5.01
276,Doha,QA,2022-10-15 01:35:15,25.2867,51.5333,84.09,74,0,3.44
277,Ust-Kuyga,RU,2022-10-15 01:35:16,70.0167,135.6,11.91,96,91,7.4
278,Kaeo,NZ,2022-10-15 01:36:16,-35.1,173.7833,60.8,65,57,12.46
279,Ajdabiya,LY,2022-10-15 01:36:17,30.7554,20.2263,72.93,70,34,17.72
280,Zemio,CF,2022-10-15 01:36:17,5.0314,25.1361,67.82,95,100,3.42
281,Cao Bang,VN,2022-10-15 01:36:18,22.6667,106.25,77.16,44,100,7.16
282,Saint-Augustin,CA,2022-10-15 01:36:18,51.226,-58.6502,49.23,89,100,1.83
283,Shenjiamen,CN,2022-10-15 01:36:19,29.9576,122.298,69.71,76,97,16.37
284,Zvishavane,ZW,2022-10-15 01:36:19,-20.3267,30.0665,67.96,42,0,1.23
285,Praia Da Vitoria,PT,2022-10-15 01:36:20,38.7333,-27.0667,66.76,88,75,10.96
286,Russell,US,2022-10-15 01:36:21,32.3502,-85.1999,61.83,94,0,0.0
287,Karatau,KZ,2022-10-15 01:36:21,43.1667,70.4667,54.12,29,27,0.94
288,Victoria Point,AU,2022-10-15 01:36:23,-27.5833,153.3,81.68,55,35,10.0
289,Iracoubo,GF,2022-10-15 01:36:23,5.4802,-53.2011,79.57,86,89,11.43
290,Madingou,CG,2022-10-15 01:36:24,-4.1536,13.55,74.86,91,100,2.8
291,Talaya,RU,2022-10-15 01:36:25,61.3833,152.75,10.36,90,93,2.77
292,Puri,IN,2022-10-15 01:36:25,19.8,85.85,77.52,85,4,7.67
293,Almeirim,BR,2022-10-15 01:36:26,-1.5233,-52.5817,74.25,94,23,4.7
294,Hobyo,SO,2022-10-15 01:36:27,5.3505,48.5268,77.05,86,1,13.35
