hotel_data,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
397,Baoning,CN,84.06,clear sky,25.3378,110.026,
399,Marawi,PH,77.05,overcast clouds,7.9986,124.2928,Derogongan Residence
400,Najran,SA,79.45,few clouds,17.4924,44.1277,محمد هادي ال فطيح
404,Along,IN,85.41,clear sky,28.1667,94.7667,Hotel West
405,Balabac,PH,83.3,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
406,Ambilobe,MG,87.49,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
409,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
412,Grand-Santi,GF,71.98,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
416,Sidney,AU,71.89,broken clouds,-33.8679,151.2073,The Grace Sydney
419,Farafangana,MG,75.47,few clouds,-22.8167,47.8333,Miarina
421,Angoche,MZ,82.47,clear sky,-16.2325,39.9086,Guest House HESADA
422,Nouadhibou,MR,73.38,sand,20.931,-17.0347,El Medina
428,La Romana,DO,76.05,clear sky,18.4273,-68.9728,Casa de Campo Resort and Villas
430,Beloha,MG,82.63,few clouds,-25.1667,45.05,
434,Wanning,CN,75.69,light rain,18.8003,110.3967,Paradise Hotel
438,Puranpur,IN,81.32,clear sky,28.5167,80.15,Randhawa Residency
440,Iralaya,HN,79.41,scattered clouds,15.0,-83.2333,Iglesia morava renovada
441,Salalah,OM,86.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
444,Varadero,CU,74.16,overcast clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
445,Diu,IN,86.97,few clouds,20.7141,70.9822,Hotel Relax Inn
446,Portmore,JM,82.36,few clouds,17.9702,-76.8672,Grand Hotel Excelsior Port Royal
447,Port Moresby,PG,85.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
449,Qui Nhon,VN,81.07,scattered clouds,13.7667,109.2333,Seagull Hotel
451,Karratha,AU,85.8,clear sky,-20.7377,116.8463,ibis Styles Karratha
452,Victoria,HK,78.85,overcast clouds,22.2855,114.1577,Mini Central
458,Pringsewu,ID,81.5,overcast clouds,-5.3582,104.9744,Urban Style by Front One
459,Clovis,US,74.66,few clouds,36.8252,-119.7029,Fairfield Inn & Suites by Marriott Fresno Clovis
461,Inongo,CD,74.21,overcast clouds,-1.95,18.2667,Hotel Du Lac
462,Rumuruti,KE,71.73,clear sky,0.267,36.5389,El paraiso Hotel
463,Enshi,CN,74.84,clear sky,30.3,109.4833,Moevenpick Enshi
465,Meulaboh,ID,81.05,broken clouds,4.1363,96.1285,Kost Pria
467,Tabuk,PH,75.36,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
468,Gizo,SB,83.84,light rain,-8.103,156.8419,Imagination Island
469,Mongo,TD,86.41,clear sky,12.1844,18.693,Résidences du Programme FIDA
475,Yenagoa,NG,79.12,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
476,Santa Helena De Goias,BR,74.26,overcast clouds,-17.8136,-50.5969,Castro Castle Hotel
477,Hobyo,SO,82.29,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
478,Chenzhou,CN,79.07,overcast clouds,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
479,Kirakira,SB,82.13,overcast clouds,-10.4544,161.9205,SanBiz Lodge
480,Guantanamo,CU,78.37,few clouds,20.1444,-75.2092,Hotel Guantánamo
